Time	(reaction_1).k1	(reaction_2).k1	(reaction_2).k2	A.ParticleNumber	B.ParticleNumber	C.ParticleNumber
0	65	10.5715	3.04	6.46235e-027	43.5401	151.41

0	65	12.0131	0.76	-3.23117e-027	11.5995	183.35
0	65	12.0131	0.988	3.23117e-027	14.8149	180.135
0	65	12.0131	1.216	-3.23117e-027	17.9195	177.031
0	65	12.0131	1.444	-6.46235e-027	20.9189	174.031
0	65	12.0131	1.672	3.23117e-027	23.8183	171.132
0	65	12.0131	1.9	0	26.6227	168.327
0	65	12.0131	2.128	0	29.3367	165.613
0	65	12.0131	2.356	-3.23117e-027	31.9645	162.985
0	65	12.0131	2.584	-6.46235e-027	34.5103	160.44
0	65	12.0131	2.812	-3.23117e-027	36.9777	157.972
0	65	12.0131	3.04	6.46235e-027	39.3704	155.58

0	65	13.4547	0.76	0	10.4232	184.527
0	65	13.4547	0.988	6.46235e-027	13.3362	181.614
0	65	13.4547	1.216	-6.46235e-027	16.1587	178.791
0	65	13.4547	1.444	0	18.8948	176.055
0	65	13.4547	1.672	0	21.5484	173.402
0	65	13.4547	1.9	0	24.1232	170.827
0	65	13.4547	2.128	-3.23117e-027	26.6227	168.327
0	65	13.4547	2.356	6.46235e-027	29.0501	165.9
0	65	13.4547	2.584	0	31.4085	163.542
0	65	13.4547	2.812	3.23117e-027	33.7007	161.249
0	65	13.4547	3.04	3.23117e-027	35.9296	159.02

0	65	14.8963	0.76	-3.23117e-027	9.46343	185.487
0	65	14.8963	0.988	3.23117e-027	12.1259	182.824
0	65	14.8963	1.216	0	14.713	180.237
0	65	14.8963	1.444	-3.23117e-027	17.2278	177.722
0	65	14.8963	1.672	0	19.6735	175.276
0	65	14.8963	1.9	0	22.0528	172.897
0	65	14.8963	2.128	-3.23117e-027	24.3684	170.582
0	65	14.8963	2.356	-6.46235e-027	26.6227	168.327
0	65	14.8963	2.584	3.23117e-027	28.8182	166.132
0	65	14.8963	2.812	0	30.9572	163.993
0	65	14.8963	3.04	0	33.0419	161.908

0	65	16.3379	0.76	6.46235e-027	8.66553	186.284
0	65	16.3379	0.988	3.23117e-027	11.1169	183.833
0	65	16.3379	1.216	3.23117e-027	13.5047	181.445
0	65	16.3379	1.444	0	15.8312	179.119
0	65	16.3379	1.672	3.23117e-027	18.0988	176.851
0	65	16.3379	1.9	-3.23117e-027	20.3097	174.64
0	65	16.3379	2.128	3.23117e-027	22.466	172.484
0	65	16.3379	2.356	0	24.5697	170.38
0	65	16.3379	2.584	0	26.6227	168.327
0	65	16.3379	2.812	0	28.6268	166.323
0	65	16.3379	3.04	3.23117e-027	30.5838	164.366

0	65	17.7794	0.76	3.23117e-027	7.99173	186.958
0	65	17.7794	0.988	0	10.263	184.687
0	65	17.7794	1.216	0	12.4798	182.47
0	65	17.7794	1.444	0	14.644	180.306
0	65	17.7794	1.672	-3.23117e-027	16.7575	178.193
0	65	17.7794	1.9	3.23117e-027	18.8219	176.128
0	65	17.7794	2.128	3.23117e-027	20.8391	174.111
0	65	17.7794	2.356	0	22.8107	172.139
0	65	17.7794	2.584	-3.23117e-027	24.738	170.212
0	65	17.7794	2.812	-3.23117e-027	26.6227	168.327
0	65	17.7794	3.04	3.23117e-027	28.4661	166.484

0	65	19.221	0.76	3.23117e-027	7.41514	187.535
0	65	19.221	0.988	0	9.53093	185.419
0	65	19.221	1.216	0	11.5995	183.35
0	65	19.221	1.444	6.46235e-027	13.6224	181.328
0	65	19.221	1.672	0	15.6012	179.349
0	65	19.221	1.9	0	17.5373	177.413
0	65	19.221	2.128	-3.23117e-027	19.432	175.518
0	65	19.221	2.356	0	21.2867	173.663
0	65	19.221	2.584	-6.46235e-027	23.1025	171.847
0	65	19.221	2.812	0	24.8808	170.069
0	65	19.221	3.04	-3.23117e-027	26.6227	168.327


0	80	4.80525	0.76	3.85431e-029	26.6227	168.327
0	80	4.80525	0.988	-5.09544e-029	33.2474	161.703
0	80	4.80525	1.216	-4.35451e-028	39.3704	155.58
0	80	4.80525	1.444	-5.6798e-029	45.0467	149.903
0	80	4.80525	1.672	3.46766e-029	50.3233	144.627
0	80	4.80525	1.9	5.71906e-028	55.241	139.709
0	80	4.80525	2.128	-3.59721e-028	59.8354	135.115
0	80	4.80525	2.356	-2.71368e-028	64.1372	130.813
0	80	4.80525	2.584	2.17953e-029	68.1735	126.777
0	80	4.80525	2.812	5.86913e-028	71.9682	122.982
0	80	4.80525	3.04	-4.48293e-028	75.5423	119.408

0	80	6.24682	0.76	2.32615e-029	21.1454	173.805
0	80	6.24682	0.988	-1.33519e-028	26.6227	168.327
0	80	6.24682	1.216	-3.0217e-028	31.7653	163.185
0	80	6.24682	1.444	3.15544e-029	36.6031	158.347
0	80	6.24682	1.672	2.0672e-029	41.1622	153.788
0	80	6.24682	1.9	1.67239e-028	45.4662	149.484
0	80	6.24682	2.128	2.70146e-028	49.5358	145.414
0	80	6.24682	2.356	-1.13596e-028	53.3897	141.56
0	80	6.24682	2.584	3.15544e-029	57.0446	137.905
0	80	6.24682	2.812	-8.1726e-028	60.5155	134.434
0	80	6.24682	3.04	-7.23905e-029	63.816	131.134

0	80	7.6884	0.76	2.53698e-027	17.5373	177.413
0	80	7.6884	0.988	-1.00659e-027	22.1994	172.751
0	80	7.6884	1.216	4.6385e-028	26.6227	168.327
0	80	7.6884	1.444	-8.83524e-029	30.8252	164.125
0	80	7.6884	1.672	-1.53341e-028	34.8229	160.127
0	80	7.6884	1.9	7.25752e-029	38.6305	156.319
0	80	7.6884	2.128	-4.16519e-028	42.2613	152.689
0	80	7.6884	2.356	-1.13616e-027	45.7272	149.223
0	80	7.6884	2.584	-1.43888e-027	49.0393	145.911
0	80	7.6884	2.812	-5.55358e-028	52.2075	142.743
0	80	7.6884	3.04	2.8399e-029	55.241	139.709

0	80	9.12997	0.76	1.89327e-028	14.981	179.969
0	80	9.12997	0.988	3.70471e-028	19.0365	175.914
0	80	9.12997	1.216	-5.27147e-028	22.9132	172.037
0	80	9.12997	1.444	-4.16519e-028	26.6227	168.327
0	80	9.12997	1.672	1.35691e-028	30.1756	164.774
0	80	9.12997	1.9	3.43639e-028	33.5817	161.368
0	80	9.12997	2.128	-3.24664e-028	36.8498	158.1
0	80	9.12997	2.356	1.57772e-029	39.9881	154.962
0	80	9.12997	2.584	5.6798e-029	43.0043	151.946
0	80	9.12997	2.812	6.31089e-029	45.9053	149.045
0	80	9.12997	3.04	1.61589e-028	48.6976	146.252

0	80	10.5715	0.76	-1.72608e-029	13.0752	181.875
0	80	10.5715	0.988	-2.37145e-028	16.6625	178.288
0	80	10.5715	1.216	9.78188e-029	20.111	174.839
0	80	10.5715	1.444	2.01948e-028	23.4286	171.521
0	80	10.5715	1.672	-7.57306e-029	26.6227	168.327
0	80	10.5715	1.9	2.4427e-028	29.7	165.25
0	80	10.5715	2.128	-6.79929e-028	32.6668	162.283
0	80	10.5715	2.356	0	35.5289	159.421
0	80	10.5715	2.584	-6.90437e-029	38.2919	156.658
0	80	10.5715	2.812	2.74201e-029	40.9607	153.989
0	80	10.5715	3.04	1.13061e-028	43.5401	151.41

0	80	12.0131	0.76	2.2593e-027	11.5995	183.35
0	80	12.0131	0.988	-8.5197e-029	14.8149	180.135
0	80	12.0131	1.216	6.374e-028	17.9195	177.031
0	80	12.0131	1.444	4.41762e-028	20.9189	174.031
0	80	12.0131	1.672	2.28802e-031	23.8183	171.132
0	80	12.0131	1.9	4.67006e-028	26.6227	168.327
0	80	12.0131	2.128	2.41847e-028	29.3367	165.613
0	80	12.0131	2.356	7.25752e-029	31.9645	162.985
0	80	12.0131	2.584	-1.3884e-028	34.5103	160.44
0	80	12.0131	2.812	-3.66838e-028	36.9777	157.972
0	80	12.0131	3.04	-6.31089e-030	39.3704	155.58

0	80	13.4547	0.76	-3.3738e-028	10.4232	184.527
0	80	13.4547	0.988	-1.43086e-028	13.3362	181.614
0	80	13.4547	1.216	-8.62036e-028	16.1587	178.791
0	80	13.4547	1.444	-1.13596e-028	18.8948	176.055
0	80	13.4547	1.672	1.04178e-028	21.5484	173.402
0	80	13.4547	1.9	3.81048e-028	24.1232	170.827
